Region,Year,Month,Avg_Temperature
Madinah,2017,1,19.5
Madinah,2017,2,17.2
Madinah,2017,3,22.9
Madinah,2017,4,29.4
Madinah,2017,5,32.4
Madinah,2017,6,36.4
Madinah,2017,7,36.3
Madinah,2017,8,38.1
Madinah,2017,9,35.0
Madinah,2017,10,29.8
Madinah,2017,11,23.9
Madinah,2017,12,18.3
Madinah,2018,1,15.8
Madinah,2018,2,21.2
Madinah,2018,3,26.4
Madinah,2018,4,26.8
Madinah,2018,5,32.0
Madinah,2018,6,35.5
Madinah,2018,7,34.9
Madinah,2018,8,35.3
Madinah,2018,9,35.9
Madinah,2018,10,28.7
Madinah,2018,11,20.8
Madinah,2018,12,19.3
Madinah,2019,1,18.8
Madinah,2019,2,18.7
Madinah,2019,3,20.7
Madinah,2019,4,25.8
Madinah,2019,5,32.5
Madinah,2019,6,35.8
Madinah,2019,7,35.4
Madinah,2019,8,34.9
Madinah,2019,9,35.1
Madinah,2019,10,30.2
Madinah,2019,11,24.2
Madinah,2019,12,18.7
Madinah,2020,1,14.8
Madinah,2020,2,18.7
Madinah,2020,3,22.8
Madinah,2020,4,26.6
Madinah,2020,5,32.2
Madinah,2020,6,35.3
Madinah,2020,7,35.1
Madinah,2020,8,33.9
Madinah,2020,9,34.7
Madinah,2020,10,28.7
Madinah,2020,11,23.6
Madinah,2020,12,19.3
Madinah,2021,1,19.0
Madinah,2021,2,19.5
Madinah,2021,3,25.7
Madinah,2021,4,28.7
Madinah,2021,5,33.2
Madinah,2021,6,37.3
Madinah,2021,7,36.2
Madinah,2021,8,36.5
Madinah,2021,9,34.8
Madinah,2021,10,31.1
Madinah,2021,11,24.0
Madinah,2021,12,19.4
Madinah,2022,1,16.4
Madinah,2022,2,18.5
Madinah,2022,3,23.3
Madinah,2022,4,29.8
Madinah,2022,5,32.9
Madinah,2022,6,36.4
Madinah,2022,7,35.2
Madinah,2022,8,36.2
Madinah,2022,9,34.2
Madinah,2022,10,29.8
Madinah,2022,11,24.1
Madinah,2022,12,19.4
Madinah,2023,1,17.3
Madinah,2023,2,18.9
Madinah,2023,3,23.4
Madinah,2023,4,25.8
Madinah,2023,5,31.0
Madinah,2023,6,35.2
Madinah,2023,7,36.2
Madinah,2023,8,36.5
Madinah,2023,9,36.6
Madinah,2023,10,30.7
Madinah,2023,11,25.2
Madinah,2023,12,20.3
Madinah,2024,1,19.0
