Region,Season,Housing_type,Window_AC_hours_per_week,Split_AC_hours_per_week,Central_AC_hours_per_week,Radiant_Heater_hours_per_week,Water_Heater_hours_per_week,Regular_Lamps_hours_per_week,Energy_Saving_Lamps_hours_per_week,Refrigerator_hours_per_week,Freezer_hours_per_week,Insulation_Yes_Pct,Cooking_Gas_Pct,Cooking_Elec_Pct
Riyadh,Winter,Villa,11.7,19.4,8.1,45.8,115.5,61.5,82.3,168.0,166.8,43.1,80.6,19.4
Riyadh,Winter,Floor in Villa,11.7,19.4,8.1,45.8,115.5,61.5,82.3,168.0,166.8,43.1,85.0,14.7
Riyadh,Winter,Traditional House,11.7,19.4,8.1,45.8,115.5,61.5,82.3,168.0,166.8,43.1,95.5,4.5
Riyadh,Winter,Floor in Traditional,11.7,19.4,8.1,45.8,115.5,61.5,82.3,168.0,166.8,43.1,93.3,6.5
Riyadh,Winter,Apartment,11.7,19.4,8.1,45.8,115.5,61.5,82.3,168.0,166.8,43.1,90.4,9.5
Riyadh,Rest_of_Year,Villa,72.9,85.6,79.6,1.0,20.8,65.2,84.1,168.0,167.3,43.1,80.6,19.4
Riyadh,Rest_of_Year,Floor in Villa,72.9,85.6,79.6,1.0,20.8,65.2,84.1,168.0,167.3,43.1,85.0,14.7
Riyadh,Rest_of_Year,Traditional House,72.9,85.6,79.6,1.0,20.8,65.2,84.1,168.0,167.3,43.1,95.5,4.5
Riyadh,Rest_of_Year,Floor in Traditional,72.9,85.6,79.6,1.0,20.8,65.2,84.1,168.0,167.3,43.1,93.3,6.5
Riyadh,Rest_of_Year,Apartment,72.9,85.6,79.6,1.0,20.8,65.2,84.1,168.0,167.3,43.1,90.4,9.5
Makkah,Winter,Villa,54.4,54.0,61.3,16.8,69.8,94.7,85.4,168.0,167.0,47.3,86.4,13.6
Makkah,Winter,Floor in Villa,54.4,54.0,61.3,16.8,69.8,94.7,85.4,168.0,167.0,47.3,99.7,0.3
Makkah,Winter,Traditional House,54.4,54.0,61.3,16.8,69.8,94.7,85.4,168.0,167.0,47.3,99.8,0.0
Makkah,Winter,Floor in Traditional,54.4,54.0,61.3,16.8,69.8,94.7,85.4,168.0,167.0,47.3,93.2,6.8
Makkah,Winter,Apartment,54.4,54.0,61.3,16.8,69.8,94.7,85.4,168.0,167.0,47.3,90.1,9.9
Makkah,Rest_of_Year,Villa,92.8,85.9,89.4,1.4,35.3,100.7,89.0,168.0,167.3,47.3,86.4,13.6
Makkah,Rest_of_Year,Floor in Villa,92.8,85.9,89.4,1.4,35.3,100.7,89.0,168.0,167.3,47.3,99.7,0.3
Makkah,Rest_of_Year,Traditional House,92.8,85.9,89.4,1.4,35.3,100.7,89.0,168.0,167.3,47.3,99.8,0.0
Makkah,Rest_of_Year,Floor in Traditional,92.8,85.9,89.4,1.4,35.3,100.7,89.0,168.0,167.3,47.3,93.2,6.8
Makkah,Rest_of_Year,Apartment,92.8,85.9,89.4,1.4,35.3,100.7,89.0,168.0,167.3,47.3,90.1,9.9
Madinah,Winter,Villa,22.7,16.4,6.3,18.6,81.5,80.5,84.9,168.0,163.6,49.9,59.8,40.2
Madinah,Winter,Floor in Villa,22.7,16.4,6.3,18.6,81.5,80.5,84.9,168.0,163.6,49.9,92.3,7.7
Madinah,Winter,Traditional House,22.7,16.4,6.3,18.6,81.5,80.5,84.9,168.0,163.6,49.9,91.0,9.0
Madinah,Winter,Floor in Traditional,22.7,16.4,6.3,18.6,81.5,80.5,84.9,168.0,163.6,49.9,100.0,0.0
Madinah,Winter,Apartment,22.7,16.4,6.3,18.6,81.5,80.5,84.9,168.0,163.6,49.9,92.8,7.0
Madinah,Rest_of_Year,Villa,89.2,90.9,113.2,0.9,6.3,90.4,91.0,168.0,166.0,49.9,59.8,40.2
Madinah,Rest_of_Year,Floor in Villa,89.2,90.9,113.2,0.9,6.3,90.4,91.0,168.0,166.0,49.9,92.3,7.7
Madinah,Rest_of_Year,Traditional House,89.2,90.9,113.2,0.9,6.3,90.4,91.0,168.0,166.0,49.9,91.0,9.0
Madinah,Rest_of_Year,Floor in Traditional,89.2,90.9,113.2,0.9,6.3,90.4,91.0,168.0,166.0,49.9,100.0,0.0
