Region,Year,Month,Avg_Temperature
Western,2000,1,23.1
Western,2000,2,23.1
Western,2000,3,24.3
Western,2000,4,27.9
Western,2000,5,29.5
Western,2000,6,30.1
Western,2000,7,31.8
Western,2000,8,31.2
Western,2000,9,30.5
Western,2000,10,28.8
Western,2000,11,25.7
Western,2000,12,24.1
Western,2001,1,22.6
Western,2001,2,23.2
Western,2001,3,26.3
Western,2001,4,27.7
Western,2001,5,29.7
Western,2001,6,30.7
Western,2001,7,32.0
Western,2001,8,32.2
Western,2001,9,31.1
Western,2001,10,29.6
Western,2001,11,27.3
Western,2001,12,25.6
Western,2002,1,21.8
Western,2002,2,24.5
Western,2002,3,25.6
Western,2002,4,27.0
Western,2002,5,28.2
Western,2002,6,30.4
Western,2002,7,31.7
Western,2002,8,32.1
Western,2002,9,31.1
Western,2002,10,30.0
Western,2002,11,28.1
Western,2002,12,24.4
Western,2003,1,23.7
Western,2003,2,23.4
Western,2003,3,24.0
Western,2003,4,27.5
Western,2003,5,31.0
Western,2003,6,31.1
Western,2003,7,31.7
Western,2003,8,32.3
Western,2003,9,31.3
Western,2003,10,30.1
Western,2003,11,27.3
Western,2003,12,25.3
Western,2004,1,23.4
Western,2004,2,23.4
Western,2004,3,25.4
Western,2004,4,27.9
Western,2004,5,29.8
Western,2004,6,30.6
Western,2004,7,31.7
Western,2004,8,31.3
Western,2004,9,30.7
Western,2004,10,29.6
Western,2004,11,27.9
Western,2004,12,24.6
Western,2005,1,22.5
Western,2005,2,23.8
Western,2005,3,25.2
Western,2005,4,28.2
Western,2005,5,29.1
Western,2005,6,30.6
Western,2005,7,31.8
Western,2005,8,32.6
Western,2005,9,31.3
Western,2005,10,29.7
Western,2005,11,27.3
Western,2005,12,25.9
Western,2006,1,24.5
Western,2006,2,24.6
Western,2006,3,25.1
Western,2006,4,27.0
Western,2006,5,29.8
Western,2006,6,30.8
Western,2006,7,31.9
Western,2006,8,32.2
Western,2006,9,31.2
Western,2006,10,29.8
Western,2006,11,27.4
Western,2006,12,24.1
Western,2007,1,23.1
Western,2007,2,23.6
Western,2007,3,24.7
Western,2007,4,27.1
Western,2007,5,30.5
Western,2007,6,30.5
Western,2007,7,32.2
Western,2007,8,32.1
Western,2007,9,30.6
Western,2007,10,29.3
Western,2007,11,27.7
Western,2007,12,25.6
Western,2008,1,22.8
Western,2008,2,23.8
Western,2008,3,25.7
Western,2008,4,28.1
Western,2008,5,29.2
Western,2008,6,30.2
Western,2008,7,31.9
Western,2008,8,31.8
Western,2008,9,31.4
Western,2008,10,29.5
Western,2008,11,27.1
Western,2008,12,25.5
Western,2009,1,24.2
Western,2009,2,25.0
Western,2009,3,24.9
Western,2009,4,27.3
Western,2009,5,29.3
Western,2009,6,31.0
Western,2009,7,31.9
Western,2009,8,32.2
Western,2009,9,30.7
Western,2009,10,29.8
Western,2009,11,27.3
Western,2009,12,24.8
Western,2010,1,24.8
Western,2010,2,24.5
Western,2010,3,26.2
Western,2010,4,28.4
Western,2010,5,29.5
Western,2010,6,31.4
Western,2010,7,32.0
Western,2010,8,32.7
Western,2010,9,31.2
Western,2010,10,30.4
Western,2010,11,28.4
Western,2010,12,25.4
Western,2011,1,23.0
Western,2011,2,24.1
Western,2011,3,24.9
Western,2011,4,27.2
Western,2011,5,29.0
Western,2011,6,30.2
Western,2011,7,31.9
Western,2011,8,31.8
Western,2011,9,31.0
Western,2011,10,29.3
Western,2011,11,26.0
Western,2011,12,24.8
Western,2012,1,22.7
Western,2012,2,24.3
Western,2012,3,24.4
Western,2012,4,27.5
Western,2012,5,30.1
Western,2012,6,31.7
Western,2012,7,32.3
Western,2012,8,32.2
Western,2012,9,31.0
Western,2012,10,29.6
Western,2012,11,27.5
Western,2012,12,25.1
Western,2013,1,23.8
Western,2013,2,24.9
Western,2013,3,26.6
Western,2013,4,27.4
Western,2013,5,30.2
Western,2013,6,31.5
Western,2013,7,31.5
Western,2013,8,31.7
Western,2013,9,31.2
Western,2013,10,29.4
Western,2013,11,27.7
Western,2013,12,24.7
Western,2014,1,23.9
Western,2014,2,24.4
Western,2014,3,25.9
Western,2014,4,28.7
Western,2014,5,29.6
Western,2014,6,31.0
Western,2014,7,32.0
Western,2014,8,32.2
Western,2014,9,30.8
Western,2014,10,29.4
Western,2014,11,26.7
Western,2014,12,25.9
Western,2015,1,23.1
Western,2015,2,24.5
Western,2015,3,26.4
Western,2015,4,26.8
Western,2015,5,30.3
Western,2015,6,30.5
Western,2015,7,31.8
Western,2015,8,32.4
Western,2015,9,31.8
Western,2015,10,30.7
Western,2015,11,27.7
Western,2015,12,24.4
Western,2016,1,23.0
Western,2016,2,24.3
Western,2016,3,26.7
Western,2016,4,28.7
Western,2016,5,30.6
Western,2016,6,31.5
Western,2016,7,32.4
Western,2016,8,32.1
Western,2016,9,31.3
Western,2016,10,29.6
Western,2016,11,28.0
Western,2016,12,25.6
Western,2017,1,23.9
Western,2017,2,23.5
Western,2017,3,24.9
Western,2017,4,28.4
Western,2017,5,30.7
Western,2017,6,30.2
