Region,Season,Dwelling_Type,Average_Temp_C,Split_AC_hours_per_week,Radiant_Heater_hours_per_week,Water_Heater_hours_per_week,Insulation_Yes_Pct,Cooking_Gas_Pct,Cooking_Elec_Pct
Riyadh,Winter,Villa,17.6,19.4,45.8,115.5,43.1,80.6,19.4
Riyadh,Winter,Floor in Villa,17.6,19.4,45.8,115.5,43.1,85.0,14.7
Riyadh,Winter,Traditional House,17.6,19.4,45.8,115.5,43.1,95.5,4.5
Riyadh,Winter,Floor in Traditional,17.6,19.4,45.8,115.5,43.1,93.3,6.5
Riyadh,Winter,Apartment,17.6,19.4,45.8,115.5,43.1,90.4,9.5
Riyadh,Rest_of_Year,Villa,31.9,85.6,1.0,20.8,43.1,80.6,19.4
Riyadh,Rest_of_Year,Floor in Villa,31.9,85.6,1.0,20.8,43.1,85.0,14.7
Riyadh,Rest_of_Year,Traditional House,31.9,85.6,1.0,20.8,43.1,95.5,4.5
Riyadh,Rest_of_Year,Floor in Traditional,31.9,85.6,1.0,20.8,43.1,93.3,6.5
Riyadh,Rest_of_Year,Apartment,31.9,85.6,1.0,20.8,43.1,90.4,9.5
Makkah,Winter,Villa,24.1,54.0,16.8,69.8,47.3,86.4,13.6
Makkah,Winter,Floor in Villa,24.1,54.0,16.8,69.8,47.3,99.7,0.3
Makkah,Winter,Traditional House,24.1,54.0,16.8,69.8,47.3,99.8,0.0
Makkah,Winter,Floor in Traditional,24.1,54.0,16.8,69.8,47.3,93.2,6.8
Makkah,Winter,Apartment,24.1,54.0,16.8,69.8,47.3,90.1,9.9
Makkah,Rest_of_Year,Villa,32.2,85.9,1.4,35.3,47.3,86.4,13.6
Makkah,Rest_of_Year,Floor in Villa,32.2,85.9,1.4,35.3,47.3,99.7,0.3
Makkah,Rest_of_Year,Traditional House,32.2,85.9,1.4,35.3,47.3,99.8,0.0
Makkah,Rest_of_Year,Floor in Traditional,32.2,85.9,1.4,35.3,47.3,93.2,6.8
Makkah,Rest_of_Year,Apartment,32.2,85.9,1.4,35.3,47.3,90.1,9.9
Madinah,Winter,Villa,19.8,16.4,18.6,81.5,49.9,59.8,40.2
Madinah,Winter,Floor in Villa,19.8,16.4,18.6,81.5,49.9,92.3,7.7
Madinah,Winter,Traditional House,19.8,16.4,18.6,81.5,49.9,91.0,9.0
Madinah,Winter,Floor in Traditional,19.8,16.4,18.6,81.5,49.9,100.0,0.0
Madinah,Winter,Apartment,19.8,16.4,18.6,81.5,49.9,92.8,7.0
Madinah,Rest_of_Year,Villa,32.0,90.9,0.9,6.3,49.9,59.8,40.2
Madinah,Rest_of_Year,Floor in Villa,32.0,90.9,0.9,6.3,49.9,92.3,7.7
Madinah,Rest_of_Year,Traditional House,32.0,90.9,0.9,6.3,49.9,91.0,9.0
Madinah,Rest_of_Year,Floor in Traditional,32.0,90.9,0.9,6.3,49.9,100.0,0.0
Madinah,Rest_of_Year,Apartment,32.0,90.9,0.9,6.3,49.9,92.8,7.0
Qassim,Winter,Villa,16.2,7.2,36.6,129.0,54.7,95.8,4.2
Qassim,Winter,Floor in Villa,16.2,7.2,36.6,129.0,54.7,97.5,2.5
Qassim,Winter,Traditional House,16.2,7.2,36.6,129.0,54.7,99.0,1.0
Qassim,Winter,Floor in Traditional,16.2,7.2,36.6,129.0,54.7,100.0,0.0
Qassim,Winter,Apartment,16.2,7.2,36.6,129.0,54.7,97.3,2.7
Qassim,Rest_of_Year,Villa,31.1,89.1,0.9,6.3,54.7,95.8,4.2
Qassim,Rest_of_Year,Floor in Villa,31.1,89.1,0.9,6.3,54.7,97.5,2.5
Qassim,Rest_of_Year,Traditional House,31.1,89.1,0.9,6.3,54.7,99.0,1.0
